REGION,week,p2.5,p25,p50,p75,p97.5,mean,p.positive
Vermont,2020-02-09,-0.033613252755152694,0.0033182991643061696,0.014395022492113482,0.021292414883541784,0.02870043290736996,0.009940310852789057,0.801
Virginia,2020-02-09,-0.0022506259665974184,0.02314328039080761,0.03281665127175315,0.03997940321058894,0.04914080965911923,0.030245625596688717,0.96675
Washington,2020-02-09,-0.0012491297994561828,0.01360374326398592,0.018606981542467052,0.022745083794036523,0.027602093590698134,0.017263560013565337,0.969
West Virginia,2020-02-09,-0.029669144120682157,0.009759384195725519,0.020392324706667957,0.027355581811325566,0.035368388619447674,0.01616305885925261,0.866
Wisconsin,2020-02-09,-0.018331442699714796,0.006858155611843675,0.013977108912244893,0.019026458641139457,0.024514746551779293,0.011290991726816935,0.872
Wyoming,2020-02-09,-0.015944063998449623,0.008297969723006017,0.014898023523176826,0.019396154223885156,0.02432470432829721,0.012147671598686904,0.88825
Alabama,2020-02-16,-0.0646086906754425,0.007223915025948716,0.026809601964164792,0.0418859078606295,0.05743476069776422,0.019490851495483404,0.80225
Alaska,2020-02-16,0.017783109270585462,0.04823788191589772,0.056677074604094296,0.06147562483214866,0.0659584775370281,0.05272685677238391,0.99
Arizona,2020-02-16,-0.037730336001750714,-0.004738566016466594,0.005493668310313239,0.011951994114192902,0.0194009348479055,0.001675872823894891,0.65375
Arkansas,2020-02-16,-0.055383087078278,-0.008294985385294308,0.006685299464963518,0.016610788186691004,0.02756886008373112,0.0012117301147802103,0.62975
California,2020-02-16,-0.029460893969087232,-0.00403274529946886,0.005010951379066854,0.011838154997077016,0.02069442883529846,0.002534487642027056,0.65075
Colorado,2020-02-16,-0.006363360426642676,0.018002522132011298,0.025668133503774337,0.031003016482634236,0.03676104828233289,0.02291808206427901,0.9535
Connecticut,2020-02-16,-0.04075098580859541,0.018611840959509164,0.03377751059188659,0.04308625400123568,0.05149058157728043,0.026763061383027156,0.8915
Delaware,2020-02-16,-8.170410923081158e-4,0.016408965075001652,0.020945985687327515,0.024017192674591157,0.026971291131855646,0.01901950638473541,0.9725
District of Columbia,2020-02-16,-0.11408395345770805,-0.03035182630631389,-0.010508570452058412,0.0010469020765265583,0.011704404235665196,-0.020626598635140415,0.2755
Georgia,2020-02-16,-0.042724625719741297,0.00645680994334857,0.018900182037736704,0.027876078050449445,0.03712590855435373,0.01383775119349527,0.827
Hawaii,2020-02-16,-0.051570739741098194,0.002693384880888725,0.019592276457208475,0.03134475352338437,0.04420719651823004,0.013838870429756216,0.77875
Idaho,2020-02-16,-0.04187834630806858,-0.00190511964702683,0.00607703607555862,0.010517770320404555,0.01407882007469648,0.001122117204309657,0.70525
Illinois,2020-02-16,-0.011237734940230983,0.010197820568929986,0.017767525080218144,0.023547114449716765,0.03090679946576756,0.015747120242486538,0.91575
Indiana,2020-02-16,-0.022447597817502996,0.007576275938089478,0.01740842920797179,0.02376389457539714,0.03148316727850001,0.014001203595754783,0.86125
Iowa,2020-02-16,-0.009920631006255528,0.008118855627534036,0.012957389015657276,0.016246152298790232,0.019624379714635928,0.011033761699615327,0.91925
Kansas,2020-02-16,-0.043230836800406264,0.016017159534941573,0.03179975744221239,0.04171746448413297,0.050303653860860754,0.024615903935944202,0.873
Kentucky,2020-02-16,-0.06489806996644096,0.03409803930657468,0.05243058948308518,0.060684634936453714,0.06597480171823396,0.039618629658360806,0.90625
Louisiana,2020-02-16,-0.01093239188472498,0.02898291419388059,0.04188534206981373,0.05124088906460849,0.06157833153352905,0.03780587498222808,0.9565
