REGION,date,p2.5,p25,p50,p75,p97.5,mean,p.positive,week
Maryland,35,238575.92573663034,360276.5353236203,395695.8301741889,423096.2500356507,461419.84937816916,384663.82743404247,0.999,2020-03-15
Massachusetts,35,298875.3164726509,388408.68908520194,424421.7918142934,453557.7734615571,501135.21705244225,417843.120275366,1,2020-03-15
Michigan,35,-28093.927081810416,64031.135507664076,84469.41135536911,97890.60714293066,115610.7030076484,74945.85772621786,0.956,2020-03-15
Missouri,35,3953.9197400016214,25783.771458764804,33610.88455687239,39987.32870917269,49366.411603935856,31890.295679684627,0.982,2020-03-15
Montana,35,4868.6164425947945,8917.666015833072,9793.163388239034,10534.971896989804,11732.997465620012,9452.459442594527,0.99475,2020-03-15
Nevada,35,4231.339121341365,16410.547040563793,20646.947865970382,23618.181457260667,28014.176138632167,19385.325804627475,0.9865,2020-03-15
New Jersey,35,502110.4999441914,1088973.3839689626,1245771.1445348607,1357378.8755705385,1492370.660665696,1188689.3227267426,0.9975,2020-03-15
New Mexico,35,12057.132815950536,41107.73033088857,50613.624797335695,57592.70153932081,67215.00958098064,47695.48309548984,0.991,2020-03-15
New York,35,1806873.8565210833,2232249.4587082127,2402080.2201044736,2543558.360321878,2774207.2665975,2371491.0084959664,1,2020-03-15
North Carolina,35,33088.629086292,236311.14393551074,295383.2288263164,333395.2807751481,380546.7270228058,272555.9269755057,0.9825,2020-03-15
North Dakota,35,3598.460862884046,14845.041992955426,17165.873060313024,18811.406574001645,21000.634245062593,16107.459180660806,0.9865,2020-03-15
Ohio,35,18063.429273569254,67785.52833462952,84621.86718620973,97064.72697273428,116141.57646066556,79870.03770440597,0.98825,2020-03-15
Oklahoma,35,-12777.04960655845,50101.11006091918,68878.0213793627,82436.22545320242,99331.11742517324,62610.73482592744,0.958,2020-03-15
Oregon,35,75938.39018501186,109159.45612727501,120075.0008692968,128658.72279401663,141539.0942728286,117179.15426933594,0.99925,2020-03-15
Pennsylvania,35,267015.2543926415,429667.16690611385,492261.0302061491,542990.9679580939,615176.6554503303,478952.1177500955,1,2020-03-15
South Carolina,35,57420.59408488747,187515.64661339181,215942.66540689662,233504.72931934282,256498.4370514929,201598.63478769368,0.989,2020-03-15
Tennessee,35,101271.4912078049,254787.2944706144,295551.5557188698,322597.2113602405,356489.35630771774,278288.9861699489,0.9915,2020-03-15
Texas,35,-11944.307323295678,292832.5040494707,389145.18348750763,461626.8642885654,569454.5975792971,361109.71466905763,0.9735,2020-03-15
Utah,35,-2915.5145005999593,30226.05244300513,38840.63594248195,44597.40254343345,51752.900561811875,35211.18048467669,0.97125,2020-03-15
Virginia,35,100897.49872194209,224744.6389272305,267322.6142599882,299168.7054638765,345630.1175425701,255557.57234331695,0.99675,2020-03-15
Washington,35,118616.80611629457,152567.24438509898,166296.8645376333,178138.99119908674,198239.65303127776,164083.89077430998,1,2020-03-15
West Virginia,35,4706.793045236999,19033.565712781143,23442.40334138394,26718.70819915374,31274.326649756058,22052.620428061637,0.987,2020-03-15
Wisconsin,35,34568.55517972175,134529.94380907304,164624.0916619444,183897.49203912047,210081.41642864206,153768.6093664851,0.9885,2020-03-15
