REGION,date,p2.5,p25,p50,p75,p97.5,p.positive,week,State,CDC_week,NewCasesWeek
Kansas,2020-03-08,-9.119815166241485e-4,0.0015931722618278319,9.429774488974104e-4,7.527286421524803e-4,6.314999121019576e-4,0.902,34,Kansas,11,7
Kansas,2020-03-15,-0.010516611827513327,0.0063696404744275625,0.004624202679789329,0.00395446973778373,0.0034913961421125187,0.9465,35,Kansas,12,49
Kansas,2020-03-22,-0.038903707432714894,0.03610804397867577,0.02450724679755604,0.020549924464648903,0.01784616641944663,0.92475,36,Kansas,13,214
Kentucky,2020-03-08,-0.0022312077745721723,0.0013335659872748828,0.0010332881085180067,9.311568350262844e-4,8.778458535979503e-4,0.943,34,Kentucky,11,17
Kentucky,2020-03-15,-0.008205360054220075,0.006043130738228407,0.004704963175835262,0.0042502879818439535,0.003987507086948045,0.94175,35,Kentucky,12,66
Kentucky,2020-03-22,-0.01695346797532833,1.7970084426400244,0.09873058372176459,0.06820936171445055,0.05692996969275502,0.75975,36,Kentucky,13,310
Louisiana,2020-03-08,0.005379593541220417,0.00319654625771821,0.0027904317705700517,0.002548079743426719,0.0023101074111889414,0.999,34,Louisiana,11,76
Louisiana,2020-03-15,0.030238633877148993,0.020754139248399122,0.018911585947929636,0.0177498476001265,0.0164727099634888,0.9995,35,Louisiana,12,686
Louisiana,2020-03-22,0.11111501764266017,0.0803565825145385,0.073602578041023,0.06915873049807877,0.06463580406836997,1,36,Louisiana,13,2552
Maine,2020-03-08,0.001448555931812282,5.674686548192814e-4,4.835917562594764e-4,4.3990689286198357e-4,4.0066822341059034e-4,0.99525,34,Maine,11,2
Maine,2020-03-15,0.015271212463796232,0.010383328568751378,0.009571895710120699,0.009075414261654216,0.00856722898453397,0.99925,35,Maine,12,67
Maine,2020-03-22,0.4585168116254045,0.06362824982344173,0.051619042868910975,0.04551849810942392,0.0402551417834405,0.98075,36,Maine,13,141
Maryland,2020-03-08,0.0029259978925436332,0.0010765610782402723,9.157922973983397e-4,8.240790696802125e-4,7.472674827270823e-4,0.99175,34,Maryland,11,24
Maryland,2020-03-15,0.007044588648591843,0.004562048017436372,0.004137791995844437,0.0039028979225527163,0.00366031364785105,0.9995,35,Maryland,12,168
Maryland,2020-03-22,0.044108431090873056,0.027066155162712803,0.024218168492111176,0.02272088709747517,0.021262072828259388,0.99875,36,Maryland,13,871
Massachusetts,2020-03-01,-0.01104922949893257,0.0011744283028292813,8.411310136482356e-4,6.990072475568471e-4,5.736134134790888e-4,0.9695,33,Massachusetts,10,12
Massachusetts,2020-03-08,0.013416078430908529,0.0063390412414750606,0.005354657011234768,0.004758312250680169,0.0041633744497824275,0.997,34,Massachusetts,11,125
Massachusetts,2020-03-15,0.01196166012272806,0.008890952196188946,0.008197629497216618,0.007740619475574177,0.007166938618345816,1,35,Massachusetts,12,387
Massachusetts,2020-03-22,0.14728905203407308,0.10358800532892977,0.09378669360799481,0.0875698003163863,0.08050416646363133,1,36,Massachusetts,13,3732
Michigan,2020-03-08,-0.0017206436190428968,0.0023354025963519534,0.0015010380890786604,0.001243373394376029,0.0010854636970576666,0.9155,34,Michigan,11,31
Michigan,2020-03-15,-0.03913317134590994,0.06872935334983413,0.04273621962691625,0.034972189116770046,0.03043542819499697,0.9035,35,Michigan,12,754
Michigan,2020-03-22,-0.6824052835799683,0.17279494911420953,0.13390201021471151,0.12011976949040788,0.10950427283684394,0.96375,36,Michigan,13,3848
Minnesota,2020-03-08,-0.006586540707994582,0.0018791054882234634,0.0013484851618451074,0.0011229270632252383,9.405569276692858e-4,0.96025,34,Minnesota,11,20
Minnesota,2020-03-15,-0.024014721382085734,0.01805034830636633,0.011203649960171813,0.0089027405947135,0.007127629861774476,0.92825,35,Minnesota,12,117
Minnesota,2020-03-22,0.07497004147257656,0.020164715876788575,0.01612962154851275,0.014249883214291045,0.012529345049002579,0.98875,36,Minnesota,13,303
Mississippi,2020-03-08,-7.330695392503208e-4,0.005693966269436472,0.0014196275853110734,9.293701826056082e-4,6.685348291280905e-4,0.80325,34,Mississippi,11,5
Mississippi,2020-03-15,-0.03394481999950095,0.04819481382455285,0.026134050514654,0.01967512040389322,0.015396626606123613,0.902,35,Mississippi,12,134
Mississippi,2020-03-22,-0.09737888547021417,0.5254446158380696,0.1654365305089795,0.11154113142849194,0.08032435900653885,0.82725,36,Mississippi,13,529
Missouri,2020-03-08,3.3730025344535185e-4,1.3818751406178515e-4,1.1462671722072348e-4,1.0246260627795455e-4,9.181271665162641e-5,0.993,34,Missouri,11,4
