replicate,probability
144,1.0565868283421872e-4
145,3.8836182902375765e-9
146,6.423474835056252e-5
147,9.931779406349809e-5
148,6.1400906716819265e-9
149,9.926232830293574e-5
150,5.802205671767028e-9
151,1.514777091839791e-8
152,9.946480735178764e-8
153,1.0836375129329524e-4
154,7.49213700525217e-6
155,1.2586892071592986e-6
156,9.940873643498214e-5
157,4.3357610808347585e-7
158,9.928374079580137e-5
159,1.004743894067993e-4
160,1.0010528707684623e-4
161,1.0121056893796509e-4
162,9.497416821727227e-9
163,1.0270518257397248e-5
164,3.363954733213848e-9
165,1.2579048541586047e-8
166,1.1101051760817436e-4
167,9.931407820672581e-5
168,0.00011698348163489616
169,6.641991132416707e-9
170,1.1506433505007878e-4
171,1.3799244138492013e-8
172,3.1037822871941193e-9
173,3.2084980219293662e-9
174,7.020323248099444e-5
175,8.072209882335411e-5
176,3.5874062984100304e-9
177,1.3648190511332686e-8
178,4.869190187285126e-9
179,1.527422928430305e-8
180,1.593613256765908e-8
181,1.0831099142279913e-4
182,9.938678578922992e-5
183,1.2806084028414596e-8
184,2.070285181110512e-6
185,5.626357420569439e-9
186,9.958733845968973e-5
187,3.2043357046674874e-9
188,3.4166718261954147e-9
189,7.953916161791997e-9
190,8.214163830773116e-8
191,6.695237308675881e-9
192,4.1420587237708445e-5
193,9.933599345433544e-5
194,1.5215813553896422e-8
195,1.217510221750862e-4
196,1.6206182590593605e-8
197,9.930215395085679e-5
198,4.4085573654408336e-9
199,1.0325996697478351e-4
200,3.033297912888001e-9
201,1.0239372810427568e-4
202,1.0001319698800483e-4
203,6.388070562471403e-6
204,1.0471344342552812e-4
205,1.0026209613361791e-4
206,1.153380875487593e-7
207,1.8501307465687465e-7
208,9.969325895144405e-5
209,1.0054550845694512e-4
210,3.518669138179623e-9
211,1.3736924324550348e-8
212,9.928857349423542e-5
213,3.1008755884690824e-9
214,1.2599884515504442e-8
215,4.169925505500034e-9
216,1.0893691622732096e-4
217,2.6011350537454776e-8
218,1.3689965320013424e-8
219,1.5199962457553882e-8
220,1.1171823645777693e-4
221,9.927416008374622e-5
222,9.947625681526299e-5
223,9.981455331410287e-5
224,4.659052705017058e-6
225,1.093088526709872e-8
226,1.7542961389378067e-7
227,1.0424435611203198e-4
228,9.929205412156388e-5
229,6.789176073699955e-5
230,3.3154516293542637e-9
231,1.0383724999933332e-4
232,9.926034730643728e-5
233,4.030246633357369e-5
234,5.835961774432656e-7
235,1.0002072529761244e-4
236,4.843612688777938e-9
237,9.00964623670028e-9
238,2.266061566836592e-8
239,9.331494524446165e-5
240,2.2826185944642497e-5
241,1.0694973157276757e-4
242,2.304765860901859e-8
243,1.2401806971900536e-8
244,9.988991580783768e-5
245,1.0654922546511695e-4
246,9.982612595109431e-5
247,5.389146185290961e-5
248,9.92876179971759e-5
249,1.6685588564623054e-5
250,8.731221499253852e-9
