REGION,week,p2.5,p25,p50,p75,p97.5,mean,p.positive,scale_factor
Wisconsin,2020-03-08,25444.28677023496,101331.86744741988,136106.27139852836,161218.5182987151,188666.9736409911,127668.43944335796,0.954,5507044.062149955
California,2020-03-15,108214.42816878493,410735.24574382463,559005.8039119886,671329.0701020533,818941.5527831116,531364.7529650402,0.97275,19189255.00817339
Colorado,2020-03-15,82721.59276245869,130043.50870133711,144244.36625839525,153924.61039381538,164619.73816784998,139202.7043421994,0.999,2632302.509495559
Connecticut,2020-03-15,39856.44802568739,115128.8667812538,140574.78973648202,155587.67869266932,170219.80982334568,130814.7703424246,0.98075,2712290.8185555004
Georgia,2020-03-15,237512.43100465005,522156.96661305183,612135.6025057825,666696.0216042345,727803.9406667136,576880.8318753367,0.99325,8951961.50221764
Illinois,2020-03-15,129580.0242120122,284233.27939040365,342568.31849781005,385829.00376496284,440812.9566523332,327939.3003475274,0.99725,8261790.148567743
Louisiana,2020-03-15,173491.0454053921,244651.8517292837,268072.6891812597,285963.7413177402,306919.34139023034,261259.91105082267,0.99975,2587256.1951379795
Maine,2020-03-15,6774.961025175237,14252.440784651742,16675.96414935938,18336.444694633443,20017.743696503894,15845.28146530918,0.99075,582955.9092302042
Maryland,2020-03-15,235119.90506247024,360319.657940471,397713.4853366927,421556.7564094341,448885.1985827869,382990.83348217665,1,5908733.818440471
Massachusetts,2020-03-15,300456.3664490354,392468.41262892226,426067.99458593375,451660.42493947793,486365.1452935782,417469.2534831881,1,8419471.719394531
Michigan,2020-03-15,18888.931702316884,69856.14391270299,88135.428805608,99430.64548598722,109683.71372513303,81522.44227149783,0.95675,3616507.1868983754
Missouri,2020-03-15,8406.272766192204,27272.054192976473,34777.676892462325,40132.35825192405,46413.52191457112,32767.4499302384,0.97925,872581.5488
Montana,2020-03-15,5617.940981012588,9100.063508148776,9953.41190102463,10463.657080236188,10889.152738382596,9538.807286955422,0.9945,281798.398656
New York,2020-03-15,1779715.370160779,2249657.219203788,2410768.359530502,2538677.830120324,2704596.8038975215,2370955.7814167226,1,29369359.88982129
North Dakota,2020-03-15,7027.95521292652,15118.786970424055,17401.017659329453,18804.703754165246,20114.021927444333,16440.45437800331,0.9895,310782.29152454546
Ohio,2020-03-15,23411.38769190571,70804.7005336518,86838.0089872523,98161.79292223543,112057.8560358736,82057.83675221479,0.98825,4339885.982103
Oklahoma,2020-03-15,13674.843213145927,53210.78742053346,70697.33187369893,83518.26001882544,97141.47978997219,66398.64308741695,0.966,1434957.7600696
Oregon,2020-03-15,74619.91286402833,110321.58947105335,120676.08837343719,128042.5624979924,135792.19449116397,116756.30780724685,0.9995,2225803.0852833046
Pennsylvania,2020-03-15,267089.25718109444,430346.4477676912,492104.1865588451,538218.2160096782,597178.9417553929,475460.81857099466,0.99975,11456872.350610616
South Carolina,2020-03-15,79862.5971020063,193313.76328187235,219901.19194652277,234335.71093204155,245773.80793916673,206084.3304516364,0.98875,2667929.4957102174
Tennessee,2020-03-15,120235.96463761426,257744.50503607036,297838.7252755195,322628.9049056858,344624.9457653162,281076.76128444535,0.991,4911264.979252298
Texas,2020-03-15,87858.58467330354,299805.35730923415,395737.89378089603,463174.59676069464,542777.5524856099,372086.453253636,0.9755,8176779.27445956
Utah,2020-03-15,8806.793153406714,31358.69163832819,39657.95988630449,44870.78624002164,50228.07898441891,36806.14061368856,0.97375,986205.7964674509
Virginia,2020-03-15,104987.6961007914,222722.19401812938,266918.53464559,298773.4389017168,339465.39046516933,254744.73903675555,0.99675,6188460.694446737
Washington,2020-03-15,117135.58809155383,154707.5660016716,168174.2939462346,177724.6923711001,189496.51174085157,163999.23662510928,1,3435276.0831895
West Virginia,2020-03-15,6659.6263487649885,19649.61017711593,23863.930302214663,26816.68216151156,30218.70578497481,22546.65481079388,0.98775,662706.4771983871
Wisconsin,2020-03-15,61903.681520014485,139996.96500348975,166237.54966440116,184931.08358665457,206150.72190754858,157539.70705505522,0.98675,4375272.34683625
Maine,NA,NA,NA,NA,NA,NA,NA,0.999,NA
